attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
exploits,1306,QUBOCorrelation,TabuSampler,26,cuda:2,7.71,19.35,0.1989,3522.3,0.99612,0.98448,0.95955,0.94776,0.97163
exploits,1319,QUBOCorrelation,TabuSampler,39,cuda:2,7.79,19.39,0.1992,3613.03,0.99664,0.98827,0.96508,0.95154,0.97902
exploits,1344,QUBOMutualInformation,SimulatedAnnealing,13,cuda:2,7.35,18.08,0.1925,3144.6,0.99596,0.98512,0.95802,0.94337,0.97314
exploits,1357,QUBOMutualInformation,SimulatedAnnealing,26,cuda:2,7.71,18.66,0.1956,3314.31,0.99612,0.98687,0.95975,0.94341,0.97667
exploits,1370,QUBOMutualInformation,SimulatedAnnealing,39,cuda:2,7.72,19.33,0.2001,3482.59,0.99651,0.99011,0.96387,0.94543,0.98305
exploits,1395,QUBOMutualInformation,SteepestDescent,13,cuda:2,7.36,17.99,0.192,3144.6,0.99598,0.98553,0.9583,0.94311,0.97398
exploits,1408,QUBOMutualInformation,SteepestDescent,26,cuda:2,7.68,18.73,0.1962,3314.31,0.99612,0.98687,0.95975,0.94341,0.97667
exploits,1421,QUBOMutualInformation,SteepestDescent,39,cuda:2,7.84,19.41,0.1992,3482.59,0.99645,0.98609,0.96301,0.95165,0.97465
exploits,1446,QUBOMutualInformation,TabuSampler,13,cuda:2,7.87,19.41,0.1989,3613.03,0.99663,0.9885,0.96502,0.95095,0.97952
exploits,1459,QUBOMutualInformation,TabuSampler,26,cuda:2,7.93,19.32,0.2008,3613.03,0.99666,0.98796,0.96522,0.95244,0.97834
exploits,1472,QUBOMutualInformation,TabuSampler,39,cuda:2,7.97,19.39,0.1994,3613.03,0.99659,0.98633,0.96446,0.95416,0.97499
exploits,1497,QUBOSVCBoosting,SimulatedAnnealing,13,cuda:2,7.4,18.28,0.1942,3054.23,0.99579,0.9816,0.95605,0.94638,0.96592
exploits,1510,QUBOSVCBoosting,SimulatedAnnealing,26,cuda:2,7.37,18.48,0.1944,3157.6,0.996,0.98666,0.95863,0.94156,0.97633
exploits,1523,QUBOSVCBoosting,SimulatedAnnealing,39,cuda:2,7.74,18.69,0.1952,3274.6,0.9962,0.98779,0.96061,0.94336,0.97851
exploits,1548,QUBOSVCBoosting,SteepestDescent,13,cuda:2,7.39,18.28,0.196,3054.23,0.99544,0.9803,0.95246,0.9416,0.96357
exploits,1561,QUBOSVCBoosting,SteepestDescent,26,cuda:2,7.39,18.43,0.1935,3157.6,0.9948,0.97717,0.94587,0.93433,0.9577
exploits,1574,QUBOSVCBoosting,SteepestDescent,39,cuda:2,7.66,18.71,0.1962,3274.6,0.99606,0.98254,0.95883,0.95021,0.9676
exploits,1599,QUBOSVCBoosting,TabuSampler,13,cuda:2,7.38,18.4,0.1944,3106.31,0.99538,0.98426,0.9523,0.93342,0.97197
exploits,1612,QUBOSVCBoosting,TabuSampler,26,cuda:2,7.63,18.62,0.196,3262.1,0.99625,0.99006,0.96135,0.94043,0.98321
exploits,1625,QUBOSVCBoosting,TabuSampler,39,cuda:2,7.64,19.16,0.1987,3430.59,0.99617,0.98666,0.96028,0.94491,0.97616
generic,2505,QUBOCorrelation,SimulatedAnnealing,13,cuda:2,24.23,49.32,0.5604,7613.16,0.99879,0.99391,0.99334,0.9988,0.98794
generic,2518,QUBOCorrelation,SimulatedAnnealing,26,cuda:2,24.05,50.24,0.5813,8095.65,0.99887,0.99425,0.99379,0.99904,0.98859
generic,2531,QUBOCorrelation,SimulatedAnnealing,39,cuda:2,24.74,50.9,0.5781,8511.11,0.99912,0.99559,0.99516,0.99907,0.99127
generic,2557,QUBOCorrelation,SteepestDescent,13,cuda:2,23.86,49.42,0.5675,7613.16,0.99883,0.994,0.99358,0.99913,0.98809
generic,2570,QUBOCorrelation,SteepestDescent,26,cuda:2,23.91,50.28,0.575,8095.65,0.99882,0.99366,0.99347,0.99967,0.98734
generic,2583,QUBOCorrelation,SteepestDescent,39,cuda:2,24.94,50.87,0.5687,8511.11,0.99906,0.99533,0.99483,0.99892,0.99077
generic,2609,QUBOCorrelation,TabuSampler,13,cuda:2,24.02,50.65,0.5726,8130.91,0.99901,0.99491,0.99454,0.99922,0.9899
generic,2622,QUBOCorrelation,TabuSampler,26,cuda:2,24.76,51.49,0.5744,8442.08,0.99912,0.99562,0.99514,0.99898,0.99133
generic,2635,QUBOCorrelation,TabuSampler,39,cuda:2,25.04,52.19,0.5804,8890.8,0.99928,0.99671,0.99606,0.99856,0.99357
generic,2661,QUBOMutualInformation,SimulatedAnnealing,13,cuda:2,24.54,49.81,0.5663,7718.06,0.99883,0.99381,0.99354,0.99949,0.98767
generic,2674,QUBOMutualInformation,SimulatedAnnealing,26,cuda:2,24.86,50.51,0.5717,8164.6,0.99932,0.99681,0.99627,0.9988,0.99375
generic,2687,QUBOMutualInformation,SimulatedAnnealing,39,cuda:2,24.82,51.99,0.5759,8614.66,0.99924,0.99631,0.99582,0.99892,0.99273
generic,2713,QUBOMutualInformation,SteepestDescent,13,cuda:2,24.23,49.93,0.5625,7718.06,0.99883,0.99381,0.99354,0.99949,0.98767
generic,2726,QUBOMutualInformation,SteepestDescent,26,cuda:2,24.71,50.53,0.5657,8164.6,0.99932,0.99678,0.99624,0.9988,0.99369
generic,2739,QUBOMutualInformation,SteepestDescent,39,cuda:2,24.67,52.03,0.5735,8614.66,0.99928,0.9966,0.99603,0.99874,0.99333
generic,2765,QUBOMutualInformation,TabuSampler,13,cuda:2,25.16,52.3,0.5809,8959.83,0.99928,0.99662,0.99604,0.99874,0.99336
generic,2778,QUBOMutualInformation,TabuSampler,26,cuda:2,25.01,52.37,0.5767,8959.83,0.99928,0.99662,0.99604,0.99874,0.99336
