attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory_gpu_0,peak_memory_gpu_1,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
generic,2557,QUBOCorrelation,SteepestDescent,13,"cuda:0,1",0,1.87,1.775,2138.94,968.94,0.99923,0.99583,0.99573,0.99982,0.99167
generic,2570,QUBOCorrelation,SteepestDescent,26,"cuda:0,1",0,2.35,1.4311,2462.94,1036.94,0.99961,0.99807,0.99788,0.99958,0.99618
generic,2583,QUBOCorrelation,SteepestDescent,39,"cuda:0,1",0,2.66,1.5685,3008.94,1098.94,0.99963,0.99809,0.99795,0.9997,0.99621
generic,2609,QUBOCorrelation,TabuSampler,13,"cuda:0,1",0,2.4,1.5235,2830.94,1042.94,0.99943,0.99707,0.99687,0.99958,0.99418
generic,2622,QUBOCorrelation,TabuSampler,26,"cuda:0,1",0,2.4,1.5553,3016.94,1444.94,0.99938,0.99756,0.99659,0.99784,0.99534
generic,2635,QUBOCorrelation,TabuSampler,39,"cuda:0,1",0,2.46,1.5734,3456.94,1152.94,0.99974,0.99874,0.99858,0.99964,0.99752
generic,2661,QUBOMutualInformation,SimulatedAnnealing,13,"cuda:0,1",0,1.99,1.4497,2678.94,982.94,0.99976,0.99895,0.99866,0.99934,0.99797
generic,2674,QUBOMutualInformation,SimulatedAnnealing,26,"cuda:0,1",0,2.31,1.4726,3048.94,1046.94,0.99974,0.99895,0.9986,0.99922,0.99797
generic,2687,QUBOMutualInformation,SimulatedAnnealing,39,"cuda:0,1",0,2.4,1.9738,3276.94,1112.94,0.99972,0.99876,0.99848,0.99937,0.99758
generic,2713,QUBOMutualInformation,SteepestDescent,13,"cuda:0,1",0,2.01,1.5546,2354.94,994.94,0.99976,0.99895,0.99866,0.99934,0.99797
generic,2726,QUBOMutualInformation,SteepestDescent,26,"cuda:0,1",0,2.27,1.5694,2978.94,1046.94,0.99974,0.99886,0.99855,0.99931,0.99779
generic,2739,QUBOMutualInformation,SteepestDescent,39,"cuda:0,1",0,2.39,1.5663,3000.94,1144.94,0.99973,0.99877,0.99854,0.99949,0.99758
generic,2765,QUBOMutualInformation,TabuSampler,13,"cuda:0,1",0,2.44,1.495,3186.94,1162.94,0.99973,0.99867,0.99851,0.99964,0.99737
generic,2778,QUBOMutualInformation,TabuSampler,26,"cuda:0,1",0,2.4,1.5021,3186.94,1462.94,0.99973,0.99867,0.99851,0.99964,0.99737
generic,2791,QUBOMutualInformation,TabuSampler,39,"cuda:0,1",0,2.46,1.4855,3224.94,1462.94,0.99973,0.99867,0.99851,0.99964,0.99737
generic,2817,QUBOSVCBoosting,SimulatedAnnealing,13,"cuda:0,1",0,1.61,1.3788,2174.94,942.94,0.99772,0.9955,0.98755,0.98239,0.99277
generic,2830,QUBOSVCBoosting,SimulatedAnnealing,26,"cuda:0,1",0,1.87,1.4086,2368.94,982.94,0.99871,0.99784,0.99292,0.9891,0.99677
generic,2843,QUBOSVCBoosting,SimulatedAnnealing,39,"cuda:0,1",0,2.5,1.5539,2836.94,1028.94,0.99958,0.99835,0.9977,0.99856,0.99683
generic,2869,QUBOSVCBoosting,SteepestDescent,13,"cuda:0,1",0,1.97,1.5331,2154.94,1242.94,0.99792,0.99654,0.98863,0.98248,0.99486
generic,2882,QUBOSVCBoosting,SteepestDescent,26,"cuda:0,1",0,2.17,1.4205,2432.94,982.94,0.99927,0.99622,0.99595,0.99943,0.9925
generic,2895,QUBOSVCBoosting,SteepestDescent,39,"cuda:0,1",0,2.64,1.5357,2658.94,1328.94,0.99939,0.99811,0.99664,0.99674,0.99654
generic,2921,QUBOSVCBoosting,TabuSampler,13,"cuda:0,1",0,1.79,0.795,2136.94,746.94,0.99726,0.99283,0.98494,0.98247,0.98743
generic,2934,QUBOSVCBoosting,TabuSampler,26,"cuda:0,1",0,2.37,1.462,2628.94,1022.94,0.99891,0.99749,0.99401,0.99226,0.99576
generic,2947,QUBOSVCBoosting,TabuSampler,39,"cuda:0,1",0,2.66,1.5659,3210.94,1416.94,0.99971,0.99866,0.9984,0.99943,0.99737
reconnaissance,2971,QUBOCorrelation,SimulatedAnnealing,11,"cuda:0,1",0,0.6,1.5148,2340.94,886.94,0.99513,0.98953,0.95061,0.92,0.98333
reconnaissance,2982,QUBOCorrelation,SimulatedAnnealing,22,"cuda:0,1",0,0.59,1.3815,2362.94,892.94,0.99693,0.99351,0.96842,0.94799,0.98974
reconnaissance,2993,QUBOCorrelation,SimulatedAnnealing,33,"cuda:0,1",0,0.58,1.5245,2036.94,900.94,0.99725,0.99267,0.97161,0.95613,0.9876
reconnaissance,3015,QUBOCorrelation,SteepestDescent,11,"cuda:0,1",0,0.57,1.3983,1968.94,886.94,0.99513,0.98953,0.95061,0.92,0.98333
reconnaissance,3026,QUBOCorrelation,SteepestDescent,22,"cuda:0,1",0,0.57,1.3821,1984.94,892.94,0.99717,0.99242,0.97078,0.95492,0.98717
reconnaissance,3037,QUBOCorrelation,SteepestDescent,33,"cuda:0,1",0,0.59,1.3637,2002.94,898.94,0.99725,0.99267,0.97161,0.95613,0.9876
reconnaissance,3059,QUBOCorrelation,TabuSampler,11,"cuda:0,1",0,0.61,1.4923,2016.94,894.94,0.99727,0.99227,0.97179,0.95728,0.98675
