attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
fuzzers,2439,QUBOSVCBoosting,SteepestDescent,33,2×GPU,0,43.89,30.4061,0.98921,0.99152,0.89772,0.81839,0.99407
fuzzers,2460,QUBOSVCBoosting,TabuSampler,11,2×GPU,0,39.6,31.0789,0.98875,0.99187,0.89393,0.81129,0.99532
fuzzers,2471,QUBOSVCBoosting,TabuSampler,22,2×GPU,0,43.6,30.3131,0.98941,0.99207,0.89945,0.82064,0.99501
fuzzers,2482,QUBOSVCBoosting,TabuSampler,33,2×GPU,0,46.58,30.4419,0.98979,0.98456,0.90131,0.8352,0.97878
exploits,1191,QUBOCorrelation,SimulatedAnnealing,13,2×GPU,0,74.19,54.8112,0.99462,0.97547,0.94412,0.93414,0.95431
exploits,1204,QUBOCorrelation,SimulatedAnnealing,26,2×GPU,0,89.42,54.9959,0.99641,0.97554,0.96197,0.97166,0.95247
exploits,1217,QUBOCorrelation,SimulatedAnnealing,39,2×GPU,0,94.61,55.2475,0.99694,0.97884,0.96757,0.97648,0.95883
exploits,1242,QUBOCorrelation,SteepestDescent,13,2×GPU,0,76.12,54.5699,0.99499,0.97901,0.94817,0.93535,0.96134
exploits,1255,QUBOCorrelation,SteepestDescent,26,2×GPU,0,89.53,55.1384,0.99641,0.97554,0.96197,0.97166,0.95247
exploits,1268,QUBOCorrelation,SteepestDescent,39,2×GPU,0,94.86,55.1756,0.99679,0.97788,0.96596,0.9751,0.95699
exploits,1293,QUBOCorrelation,TabuSampler,13,2×GPU,0,92.06,55.1805,0.99661,0.97692,0.9641,0.97323,0.95515
exploits,1306,QUBOCorrelation,TabuSampler,26,2×GPU,0,96.6,55.0999,0.99791,0.98841,0.97807,0.97824,0.97791
exploits,1319,QUBOCorrelation,TabuSampler,39,2×GPU,0,100.78,55.5538,0.9985,0.99238,0.98429,0.98297,0.98561
exploits,1344,QUBOMutualInformation,SimulatedAnnealing,13,2×GPU,0,69.62,55.0014,0.99734,0.98533,0.97205,0.97205,0.97205
exploits,1357,QUBOMutualInformation,SimulatedAnnealing,26,2×GPU,0,74.05,54.7746,0.99843,0.99218,0.98354,0.98182,0.98527
exploits,1370,QUBOMutualInformation,SimulatedAnnealing,39,2×GPU,0,78.44,54.9074,0.99848,0.99236,0.98404,0.98248,0.98561
exploits,1395,QUBOMutualInformation,SteepestDescent,13,2×GPU,0,69.54,55.0289,0.99734,0.98533,0.97205,0.97205,0.97205
exploits,1408,QUBOMutualInformation,SteepestDescent,26,2×GPU,0,73.99,55.0583,0.99843,0.99218,0.98354,0.98182,0.98527
exploits,1421,QUBOMutualInformation,SteepestDescent,39,2×GPU,0,78.18,55.6828,0.99847,0.99236,0.98396,0.98232,0.98561
exploits,1446,QUBOMutualInformation,TabuSampler,13,2×GPU,0,100.7,55.3917,0.9985,0.99238,0.98429,0.98297,0.98561
exploits,1459,QUBOMutualInformation,TabuSampler,26,2×GPU,0,100.87,55.0887,0.9985,0.99238,0.98429,0.98297,0.98561
exploits,1472,QUBOMutualInformation,TabuSampler,39,2×GPU,0,100.79,55.2235,0.9985,0.99238,0.98429,0.98297,0.98561
exploits,1497,QUBOSVCBoosting,SimulatedAnnealing,13,2×GPU,0,82.57,54.6356,0.99699,0.98125,0.96822,0.97264,0.96385
exploits,1510,QUBOSVCBoosting,SimulatedAnnealing,26,2×GPU,0,77.9,55.0256,0.99787,0.98879,0.97768,0.97662,0.97874
exploits,1523,QUBOSVCBoosting,SimulatedAnnealing,39,2×GPU,0,82.94,55.5727,0.99823,0.99064,0.98144,0.98062,0.98226
exploits,1548,QUBOSVCBoosting,SteepestDescent,13,2×GPU,0,73.73,55.1571,0.9913,0.96403,0.91095,0.8891,0.93389
exploits,1561,QUBOSVCBoosting,SteepestDescent,26,2×GPU,0,78.71,55.7627,0.99127,0.96314,0.91049,0.8899,0.93205
exploits,1574,QUBOSVCBoosting,SteepestDescent,39,2×GPU,0,87.87,54.6205,0.99767,0.98582,0.9755,0.97829,0.97272
exploits,1599,QUBOSVCBoosting,TabuSampler,13,2×GPU,0,68.65,54.8544,0.99578,0.97942,0.9559,0.95052,0.96134
exploits,1612,QUBOSVCBoosting,TabuSampler,26,2×GPU,0,83.26,54.9501,0.99708,0.98487,0.96943,0.96749,0.97138
exploits,1625,QUBOSVCBoosting,TabuSampler,39,2×GPU,0,94.98,55.4732,0.99817,0.99085,0.98087,0.97899,0.98276
generic,2505,QUBOCorrelation,SimulatedAnnealing,13,2×GPU,0,248.48,162.7997,0.99953,0.99761,0.99743,0.99961,0.99525
generic,2518,QUBOCorrelation,SimulatedAnnealing,26,2×GPU,0,319.1,157.4126,0.9997,0.99864,0.99836,0.99937,0.99734
generic,2531,QUBOCorrelation,SimulatedAnnealing,39,2×GPU,0,364.1,157.8171,0.99966,0.99848,0.99812,0.99919,0.99704
generic,2557,QUBOCorrelation,SteepestDescent,13,2×GPU,0,246.49,157.0131,0.99945,0.99752,0.99698,0.9988,0.99516
generic,2570,QUBOCorrelation,SteepestDescent,26,2×GPU,0,316.14,158.2451,0.9997,0.99861,0.99837,0.99946,0.99728
generic,2583,QUBOCorrelation,SteepestDescent,39,2×GPU,0,368.74,158.1178,0.99972,0.99879,0.99848,0.99931,0.99764
generic,2609,QUBOCorrelation,TabuSampler,13,2×GPU,0,315.61,158.9173,0.99956,0.998,0.99758,0.99907,0.99609
generic,2622,QUBOCorrelation,TabuSampler,26,2×GPU,0,365.69,158.1396,0.99963,0.99833,0.99795,0.99916,0.99674
generic,2635,QUBOCorrelation,TabuSampler,39,2×GPU,0,392.41,159.2287,0.99977,0.99907,0.99876,0.99931,0.99821
generic,2661,QUBOMutualInformation,SimulatedAnnealing,13,2×GPU,0,226.91,158.4304,0.99974,0.99901,0.99855,0.99898,0.99812
generic,2674,QUBOMutualInformation,SimulatedAnnealing,26,2×GPU,0,256.77,158.7057,0.99977,0.99911,0.99873,0.99916,0.9983
generic,2687,QUBOMutualInformation,SimulatedAnnealing,39,2×GPU,0,282.43,158.595,0.99977,0.99912,0.99876,0.99919,0.99833
generic,2713,QUBOMutualInformation,SteepestDescent,13,2×GPU,0,227.0,157.2618,0.99974,0.99901,0.99855,0.99898,0.99812
generic,2726,QUBOMutualInformation,SteepestDescent,26,2×GPU,0,256.79,158.9669,0.99976,0.99911,0.99867,0.99901,0.99833
generic,2739,QUBOMutualInformation,SteepestDescent,39,2×GPU,0,319.53,157.5826,0.99977,0.99914,0.99876,0.99916,0.99836
generic,2765,QUBOMutualInformation,TabuSampler,13,2×GPU,0,399.22,159.4512,0.99978,0.99907,0.99877,0.99934,0.99821
generic,2778,QUBOMutualInformation,TabuSampler,26,2×GPU,0,399.26,158.0502,0.99978,0.99907,0.99877,0.99934,0.99821
generic,2791,QUBOMutualInformation,TabuSampler,39,2×GPU,0,399.22,159.1073,0.99978,0.99907,0.99877,0.99934,0.99821
