attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
exploits,1421,QUBOMutualInformation,SteepestDescent,39,cuda:2,4.94,17.07,0.1887,3067.36,0.99696,0.98862,0.96839,0.95761,0.97941
exploits,1446,QUBOMutualInformation,TabuSampler,13,cuda:2,5.0,17.15,0.1895,3187.02,0.9965,0.98751,0.96378,0.95037,0.97757
exploits,1459,QUBOMutualInformation,TabuSampler,26,cuda:2,4.97,17.16,0.1882,3187.02,0.99662,0.98765,0.96498,0.95254,0.97774
exploits,1472,QUBOMutualInformation,TabuSampler,39,cuda:2,4.99,17.18,0.189,3187.02,0.99656,0.98794,0.96436,0.95072,0.97841
exploits,1497,QUBOSVCBoosting,SimulatedAnnealing,13,cuda:2,4.85,16.2,0.1847,2669.36,0.99501,0.9779,0.9482,0.93764,0.95899
exploits,1510,QUBOSVCBoosting,SimulatedAnnealing,26,cuda:2,4.91,16.37,0.1865,2765.7,0.99634,0.98965,0.96236,0.94326,0.98226
exploits,1523,QUBOSVCBoosting,SimulatedAnnealing,39,cuda:2,4.88,16.5,0.1874,2875.28,0.99648,0.98996,0.96372,0.94541,0.98276
exploits,1548,QUBOSVCBoosting,SteepestDescent,13,cuda:2,4.89,16.18,0.1855,2669.36,0.99551,0.98079,0.95342,0.94258,0.96451
exploits,1561,QUBOSVCBoosting,SteepestDescent,26,cuda:2,4.85,16.41,0.1854,2765.7,0.99546,0.97981,0.95285,0.9434,0.9625
exploits,1574,QUBOSVCBoosting,SteepestDescent,39,cuda:2,4.92,16.56,0.1863,2875.28,0.99602,0.98567,0.95889,0.94404,0.97422
exploits,1599,QUBOSVCBoosting,TabuSampler,13,cuda:2,4.86,16.28,0.1836,2717.5,0.99523,0.98875,0.95148,0.92317,0.98159
exploits,1612,QUBOSVCBoosting,TabuSampler,26,cuda:2,4.89,16.52,0.1869,2862.35,0.9963,0.9878,0.96182,0.94579,0.97841
exploits,1625,QUBOSVCBoosting,TabuSampler,39,cuda:2,4.93,16.93,0.1888,3018.16,0.9961,0.98849,0.95991,0.94056,0.98008
generic,2505,QUBOCorrelation,SimulatedAnnealing,13,cuda:2,15.15,49.8,0.5633,7072.8,0.99895,0.99455,0.99422,0.99934,0.98916
generic,2518,QUBOCorrelation,SimulatedAnnealing,26,cuda:2,15.26,50.25,0.5712,7537.84,0.99907,0.99517,0.99484,0.99931,0.99041
generic,2531,QUBOCorrelation,SimulatedAnnealing,39,cuda:2,15.6,50.61,0.5712,7936.59,0.99917,0.99594,0.99542,0.99886,0.992
generic,2557,QUBOCorrelation,SteepestDescent,13,cuda:2,15.07,49.8,0.5747,7072.8,0.99889,0.99422,0.99386,0.99928,0.9885
generic,2570,QUBOCorrelation,SteepestDescent,26,cuda:2,15.45,50.17,0.57,7537.84,0.999,0.99541,0.9945,0.99802,0.99101
generic,2583,QUBOCorrelation,SteepestDescent,39,cuda:2,15.69,50.59,0.5688,7936.59,0.9992,0.99624,0.9956,0.99859,0.99262
generic,2609,QUBOCorrelation,TabuSampler,13,cuda:2,15.41,51.05,0.5714,7570.52,0.999,0.99504,0.99448,0.9988,0.9902
generic,2622,QUBOCorrelation,TabuSampler,26,cuda:2,15.61,51.82,0.5803,7869.46,0.99929,0.99676,0.99609,0.99853,0.99367
generic,2635,QUBOCorrelation,TabuSampler,39,cuda:2,15.92,53.08,0.5835,8301.79,0.99928,0.99665,0.99605,0.99868,0.99343
generic,2661,QUBOMutualInformation,SimulatedAnnealing,13,cuda:2,15.36,50.13,0.5693,7172.68,0.99909,0.99561,0.99495,0.99856,0.99137
generic,2674,QUBOMutualInformation,SimulatedAnnealing,26,cuda:2,15.38,50.79,0.5683,7604.27,0.99937,0.99701,0.99653,0.99895,0.99412
generic,2687,QUBOMutualInformation,SimulatedAnnealing,39,cuda:2,15.75,52.25,0.583,8036.24,0.99934,0.9969,0.99636,0.99883,0.99391
generic,2713,QUBOMutualInformation,SteepestDescent,13,cuda:2,15.21,50.15,0.5692,7172.68,0.9991,0.99566,0.99504,0.99865,0.99146
generic,2726,QUBOMutualInformation,SteepestDescent,26,cuda:2,15.43,50.76,0.5718,7604.27,0.99935,0.99689,0.99642,0.99898,0.99388
generic,2739,QUBOMutualInformation,SteepestDescent,39,cuda:2,15.68,52.22,0.577,8036.24,0.99934,0.99703,0.99635,0.9985,0.99421
generic,2765,QUBOMutualInformation,TabuSampler,13,cuda:2,15.88,53.59,0.585,8368.23,0.99929,0.99671,0.99609,0.99865,0.99355
generic,2778,QUBOMutualInformation,TabuSampler,26,cuda:2,15.9,53.6,0.5844,8368.23,0.99929,0.99671,0.99609,0.99865,0.99355
generic,2791,QUBOMutualInformation,TabuSampler,39,cuda:2,15.84,53.54,0.5855,8368.23,0.99929,0.99671,0.99609,0.99865,0.99355
generic,2817,QUBOSVCBoosting,SimulatedAnnealing,13,cuda:2,15.08,49.5,0.5661,6907.7,0.99775,0.99571,0.98772,0.98228,0.99322
generic,2830,QUBOSVCBoosting,SimulatedAnnealing,26,cuda:2,15.16,50.13,0.5684,7172.68,0.99887,0.99429,0.99376,0.99888,0.98868
generic,2843,QUBOSVCBoosting,SimulatedAnnealing,39,cuda:2,15.39,50.6,0.5706,7471.41,0.99882,0.99568,0.99352,0.99521,0.99185
generic,2869,QUBOSVCBoosting,SteepestDescent,13,cuda:2,15.04,49.45,0.5811,6907.7,0.99766,0.9889,0.987,0.99596,0.9782
generic,2882,QUBOSVCBoosting,SteepestDescent,26,cuda:2,15.18,50.22,0.5667,7172.68,0.9985,0.9924,0.9917,0.99855,0.98495
generic,2895,QUBOSVCBoosting,SteepestDescent,39,cuda:2,15.28,50.63,0.5694,7471.41,0.99836,0.99309,0.99096,0.9953,0.98665
generic,2921,QUBOSVCBoosting,TabuSampler,13,cuda:2,14.96,49.71,0.5668,7039.6,0.99897,0.99504,0.99429,0.99837,0.99023
generic,2934,QUBOSVCBoosting,TabuSampler,26,cuda:2,15.25,50.73,0.5704,7438.41,0.99908,0.99592,0.99494,0.99784,0.99206
generic,2947,QUBOSVCBoosting,TabuSampler,39,cuda:2,15.53,51.77,0.5809,7869.46,0.99918,0.99606,0.99549,0.99877,0.99224
reconnaissance,2971,QUBOCorrelation,SimulatedAnnealing,11,cuda:2,1.85,6.29,0.0802,1124.83,0.99733,0.99495,0.97257,0.95359,0.99231
reconnaissance,2982,QUBOCorrelation,SimulatedAnnealing,22,cuda:2,1.87,6.43,0.0812,1177.75,0.99951,0.99771,0.99488,0.99403,0.99573
reconnaissance,2993,QUBOCorrelation,SimulatedAnnealing,33,cuda:2,1.87,6.57,0.0799,1231.2,0.99937,0.99723,0.99339,0.9919,0.99487
reconnaissance,3015,QUBOCorrelation,SteepestDescent,11,cuda:2,1.84,6.29,0.0807,1124.83,0.99735,0.99496,0.97277,0.95399,0.99231
reconnaissance,3026,QUBOCorrelation,SteepestDescent,22,cuda:2,1.86,6.43,0.0824,1177.75,0.99947,0.99708,0.99444,0.99444,0.99444
reconnaissance,3037,QUBOCorrelation,SteepestDescent,33,cuda:2,1.87,6.57,0.0803,1231.2,0.99935,0.99722,0.99317,0.99148,0.99487
reconnaissance,3059,QUBOCorrelation,TabuSampler,11,cuda:2,1.87,6.45,0.0826,1192.33,0.99933,0.99782,0.99297,0.98981,0.99615
reconnaissance,3070,QUBOCorrelation,TabuSampler,22,cuda:2,1.87,6.6,0.0806,1245.78,0.99955,0.99753,0.9953,0.9953,0.9953
reconnaissance,3081,QUBOCorrelation,TabuSampler,33,cuda:2,1.88,6.66,0.0842,1284.83,0.99955,0.99773,0.9953,0.99488,0.99573
reconnaissance,3103,QUBOMutualInformation,SimulatedAnnealing,11,cuda:2,1.86,6.33,0.0793,1134.5,0.9978,0.99621,0.97732,0.96078,0.99444
reconnaissance,3114,QUBOMutualInformation,SimulatedAnnealing,22,cuda:2,1.86,6.46,0.0827,1187.82,0.99929,0.99577,0.99252,0.99315,0.99188
reconnaissance,3125,QUBOMutualInformation,SimulatedAnnealing,33,cuda:2,1.88,6.52,0.082,1241.46,0.99953,0.99712,0.99508,0.99572,0.99444
reconnaissance,3147,QUBOMutualInformation,SteepestDescent,11,cuda:2,1.85,6.33,0.0784,1134.5,0.99788,0.99605,0.97813,0.96275,0.99402
reconnaissance,3158,QUBOMutualInformation,SteepestDescent,22,cuda:2,1.85,6.46,0.0798,1187.82,0.99927,0.99556,0.9923,0.99315,0.99145
reconnaissance,3169,QUBOMutualInformation,SteepestDescent,33,cuda:2,1.88,6.52,0.0828,1241.46,0.99943,0.99686,0.99402,0.99402,0.99402
reconnaissance,3191,QUBOMutualInformation,TabuSampler,11,cuda:2,1.89,6.66,0.0819,1284.83,0.99955,0.99773,0.9953,0.99488,0.99573
reconnaissance,3202,QUBOMutualInformation,TabuSampler,22,cuda:2,1.89,6.66,0.0824,1284.83,0.99955,0.99773,0.9953,0.99488,0.99573
reconnaissance,3213,QUBOMutualInformation,TabuSampler,33,cuda:2,1.87,6.66,0.0806,1284.83,0.99955,0.99773,0.9953,0.99488,0.99573
reconnaissance,3235,QUBOSVCBoosting,SimulatedAnnealing,11,cuda:2,1.83,6.27,0.0809,1100.6,0.99686,0.98617,0.96733,0.9604,0.97436
reconnaissance,3246,QUBOSVCBoosting,SimulatedAnnealing,22,cuda:2,1.86,6.35,0.0799,1138.88,0.99878,0.99327,0.98718,0.98718,0.98718
reconnaissance,3257,QUBOSVCBoosting,SimulatedAnnealing,33,cuda:2,1.85,6.41,0.0803,1173.03,0.99927,0.99677,0.99232,0.99063,0.99402
reconnaissance,3279,QUBOSVCBoosting,SteepestDescent,11,cuda:2,1.84,6.27,0.0801,1100.6,0.99739,0.97752,0.97217,0.98938,0.95556
reconnaissance,3290,QUBOSVCBoosting,SteepestDescent,22,cuda:2,1.84,6.35,0.0785,1138.88,0.9976,0.97885,0.97436,0.99116,0.95812
reconnaissance,3301,QUBOSVCBoosting,SteepestDescent,33,cuda:2,1.84,6.41,0.0796,1173.03,0.99923,0.99675,0.9919,0.98979,0.99402
reconnaissance,3323,QUBOSVCBoosting,TabuSampler,11,cuda:2,1.83,6.32,0.0824,1119.7,0.998,0.99489,0.97932,0.96747,0.99145
reconnaissance,3334,QUBOSVCBoosting,TabuSampler,22,cuda:2,1.85,6.43,0.079,1169.42,0.99951,0.99731,0.99487,0.99487,0.99487
reconnaissance,3345,QUBOSVCBoosting,TabuSampler,33,cuda:2,1.87,6.3,0.0806,1222.35,0.99929,0.99455,0.9925,0.9957,0.98932
analysis,9,QUBOCorrelation,SimulatedAnnealing,10,cuda:2,0.3,1.53,0.0269,220.48,0.99886,0.9994,0.98824,0.97674,1.0
analysis,20,QUBOCorrelation,SimulatedAnnealing,21,cuda:2,0.29,1.53,0.0262,230.55,0.99886,0.9994,0.98824,0.97674,1.0
analysis,30,QUBOCorrelation,SimulatedAnnealing,31,cuda:2,0.3,1.52,0.0264,238.81,0.99955,0.99976,0.99526,0.99057,1.0
analysis,50,QUBOCorrelation,SteepestDescent,10,cuda:2,0.29,1.53,0.0267,220.48,0.99886,0.9994,0.98824,0.97674,1.0
analysis,61,QUBOCorrelation,SteepestDescent,21,cuda:2,0.28,1.53,0.0267,230.55,0.99886,0.9994,0.98824,0.97674,1.0
analysis,71,QUBOCorrelation,SteepestDescent,31,cuda:2,0.29,1.52,0.0266,238.81,0.99955,0.99976,0.99526,0.99057,1.0
analysis,91,QUBOCorrelation,TabuSampler,10,cuda:2,0.29,1.53,0.0266,235.2,0.99886,0.9994,0.98824,0.97674,1.0
analysis,102,QUBOCorrelation,TabuSampler,21,cuda:2,0.29,1.55,0.0266,242.36,0.99955,0.99976,0.99526,0.99057,1.0
analysis,112,QUBOCorrelation,TabuSampler,31,cuda:2,0.3,1.56,0.0265,247.69,0.99955,0.99976,0.99526,0.99057,1.0
analysis,132,QUBOMutualInformation,SimulatedAnnealing,10,cuda:2,0.29,1.53,0.0266,221.72,0.99886,0.9994,0.98824,0.97674,1.0
